ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.137,1.720,7.191,0.218,0.824,0.929,0.969,2.008
proxy_dpth,0.227,4.857,12.536,0.307,0.687,0.852,0.935,2.833
15m,0.051,0.074,0.737,0.070,0.969,0.991,0.998,0.977
25m,0.073,0.233,1.689,0.111,0.934,0.981,0.994,1.386
50m,0.116,0.982,4.432,0.181,0.861,0.950,0.979,1.861
80m,0.136,1.706,7.121,0.217,0.825,0.930,0.969,2.008
