ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.145,1.844,7.640,0.233,0.803,0.917,0.964,2.154
proxy_dpth,0.243,5.318,13.200,0.329,0.667,0.834,0.923,2.994
15m,0.055,0.089,0.805,0.077,0.961,0.988,0.996,1.060
25m,0.079,0.255,1.795,0.119,0.922,0.977,0.993,1.541
50m,0.123,1.039,4.728,0.194,0.842,0.940,0.976,2.016
80m,0.145,1.817,7.510,0.232,0.804,0.918,0.964,2.154
