ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.311,4.284,9.234,0.320,0.615,0.859,0.942,2.253
proxy_dpth,0.509,14.380,19.330,0.464,0.443,0.683,0.830,3.309
15m,0.151,0.280,1.598,0.156,0.899,0.991,0.998,0.947
25m,0.195,0.702,2.945,0.204,0.755,0.971,0.994,1.330
50m,0.271,2.426,6.371,0.281,0.644,0.894,0.966,1.933
80m,0.311,4.284,9.234,0.320,0.615,0.859,0.942,2.253
