ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.141,1.769,7.505,0.229,0.806,0.919,0.966,2.104
proxy_dpth,0.238,5.130,13.121,0.321,0.665,0.837,0.927,2.929
15m,0.054,0.086,0.788,0.076,0.962,0.988,0.996,1.051
25m,0.076,0.240,1.759,0.116,0.924,0.977,0.993,1.483
50m,0.119,0.978,4.657,0.189,0.844,0.941,0.978,1.946
80m,0.141,1.749,7.399,0.227,0.807,0.919,0.967,2.104
