ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.306,4.636,9.547,0.324,0.631,0.849,0.934,2.415
proxy_dpth,0.558,17.541,20.583,0.497,0.443,0.658,0.800,3.579
15m,0.121,0.214,1.409,0.133,0.926,0.990,0.998,0.990
25m,0.173,0.648,2.883,0.192,0.783,0.967,0.993,1.403
50m,0.258,2.506,6.499,0.280,0.662,0.885,0.962,2.053
80m,0.306,4.636,9.547,0.324,0.631,0.849,0.934,2.415
