ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.309,3.985,9.300,0.320,0.585,0.853,0.944,2.294
proxy_dpth,0.480,13.146,19.144,0.454,0.436,0.686,0.841,3.393
15m,0.164,0.317,1.703,0.168,0.855,0.991,0.999,1.162
25m,0.205,0.738,3.070,0.215,0.717,0.966,0.994,1.523
50m,0.269,2.195,6.316,0.281,0.614,0.891,0.971,1.978
80m,0.309,3.985,9.300,0.320,0.585,0.853,0.944,2.294
