ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.308,4.663,9.728,0.335,0.619,0.835,0.927,2.592
proxy_dpth,0.525,15.668,20.231,0.489,0.438,0.656,0.807,3.670
15m,0.132,0.243,1.484,0.145,0.900,0.989,0.997,1.212
25m,0.177,0.673,2.948,0.201,0.765,0.959,0.992,1.604
50m,0.260,2.491,6.643,0.290,0.650,0.870,0.955,2.226
80m,0.308,4.663,9.728,0.335,0.619,0.835,0.927,2.592
