ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.299,4.183,9.314,0.314,0.637,0.860,0.941,2.270
proxy_dpth,0.475,13.260,18.867,0.448,0.464,0.699,0.845,3.339
15m,0.139,0.243,1.495,0.145,0.922,0.992,0.999,0.958
25m,0.180,0.621,2.812,0.192,0.787,0.974,0.995,1.312
50m,0.256,2.273,6.317,0.272,0.668,0.896,0.968,1.922
80m,0.299,4.183,9.314,0.314,0.637,0.860,0.941,2.270
