ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.319,4.281,9.455,0.326,0.584,0.848,0.940,2.295
proxy_dpth,0.504,14.101,19.380,0.465,0.436,0.677,0.829,3.388
15m,0.160,0.308,1.675,0.164,0.868,0.992,0.999,1.064
25m,0.205,0.757,3.090,0.214,0.721,0.966,0.994,1.453
50m,0.276,2.363,6.441,0.286,0.613,0.885,0.968,1.967
80m,0.319,4.280,9.453,0.326,0.584,0.848,0.940,2.295
