ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.300,4.396,9.388,0.319,0.632,0.855,0.938,2.381
proxy_dpth,0.493,14.228,19.268,0.459,0.453,0.689,0.838,3.427
15m,0.128,0.225,1.444,0.138,0.922,0.991,0.998,1.024
25m,0.175,0.638,2.865,0.193,0.781,0.970,0.993,1.425
50m,0.256,2.392,6.382,0.276,0.663,0.891,0.965,2.034
80m,0.300,4.396,9.388,0.319,0.632,0.855,0.938,2.381
