ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.306,4.093,9.070,0.314,0.622,0.864,0.945,2.217
proxy_dpth,0.471,12.880,18.160,0.440,0.470,0.720,0.853,3.271
15m,0.152,0.281,1.590,0.155,0.900,0.991,0.999,0.927
25m,0.194,0.692,2.903,0.201,0.761,0.972,0.994,1.315
50m,0.268,2.354,6.281,0.277,0.650,0.897,0.968,1.916
80m,0.306,4.093,9.069,0.314,0.622,0.864,0.945,2.217
