ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.147,1.814,7.414,0.229,0.799,0.919,0.967,2.112
proxy_dpth,0.236,5.032,13.100,0.322,0.668,0.839,0.927,2.954
15m,0.054,0.083,0.804,0.076,0.963,0.990,0.997,1.015
25m,0.080,0.263,1.838,0.120,0.919,0.978,0.993,1.473
50m,0.125,1.045,4.746,0.193,0.835,0.941,0.977,1.957
80m,0.146,1.789,7.277,0.227,0.800,0.920,0.967,2.112
