ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.317,4.586,9.393,0.327,0.616,0.852,0.937,2.365
proxy_dpth,0.526,15.541,19.273,0.474,0.453,0.688,0.828,3.463
15m,0.146,0.267,1.560,0.152,0.903,0.990,0.998,1.002
25m,0.191,0.703,2.959,0.203,0.761,0.967,0.993,1.403
50m,0.274,2.586,6.502,0.287,0.645,0.886,0.961,2.039
80m,0.317,4.585,9.389,0.327,0.616,0.852,0.937,2.365
