ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.297,4.227,9.202,0.313,0.645,0.862,0.941,2.273
proxy_dpth,0.510,14.766,19.350,0.467,0.459,0.684,0.827,3.363
15m,0.132,0.233,1.450,0.140,0.923,0.991,0.998,0.902
25m,0.176,0.631,2.797,0.190,0.794,0.972,0.994,1.291
50m,0.255,2.346,6.304,0.272,0.675,0.896,0.966,1.936
80m,0.297,4.227,9.202,0.313,0.645,0.862,0.941,2.273
