ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.152,2.054,8.094,0.248,0.787,0.909,0.959,2.260
proxy_dpth,0.251,5.608,13.542,0.336,0.650,0.825,0.920,3.067
15m,0.055,0.092,0.827,0.079,0.960,0.987,0.996,1.156
25m,0.081,0.273,1.900,0.125,0.915,0.974,0.991,1.664
50m,0.127,1.117,4.965,0.204,0.829,0.935,0.973,2.113
80m,0.151,2.003,7.836,0.245,0.790,0.910,0.960,2.260
