ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.141,1.756,7.704,0.230,0.803,0.921,0.966,2.110
proxy_dpth,0.226,4.735,12.711,0.314,0.680,0.847,0.931,2.894
15m,0.053,0.083,0.784,0.075,0.966,0.990,0.997,1.043
25m,0.077,0.246,1.766,0.116,0.927,0.979,0.993,1.511
50m,0.120,0.985,4.651,0.189,0.844,0.945,0.978,1.984
80m,0.140,1.708,7.471,0.227,0.806,0.922,0.967,2.110
