ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.316,4.855,9.676,0.331,0.621,0.844,0.931,2.440
proxy_dpth,0.525,15.717,19.705,0.477,0.447,0.677,0.824,3.499
15m,0.127,0.225,1.437,0.137,0.921,0.990,0.998,0.976
25m,0.179,0.680,2.928,0.196,0.772,0.967,0.993,1.405
50m,0.268,2.648,6.605,0.286,0.651,0.880,0.960,2.075
80m,0.316,4.855,9.676,0.331,0.621,0.844,0.931,2.440
