ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.311,4.398,9.370,0.322,0.621,0.854,0.938,2.272
proxy_dpth,0.496,13.992,19.077,0.458,0.453,0.690,0.837,3.315
15m,0.142,0.259,1.536,0.148,0.911,0.991,0.998,0.916
25m,0.190,0.698,2.930,0.200,0.764,0.969,0.993,1.310
50m,0.268,2.440,6.419,0.281,0.650,0.890,0.965,1.935
80m,0.311,4.398,9.370,0.322,0.621,0.854,0.938,2.272
