ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.143,1.754,7.417,0.227,0.804,0.920,0.967,2.089
proxy_dpth,0.234,4.994,12.974,0.318,0.668,0.839,0.928,2.927
15m,0.054,0.085,0.793,0.076,0.964,0.989,0.997,1.031
25m,0.078,0.249,1.778,0.117,0.925,0.978,0.993,1.476
50m,0.121,0.989,4.649,0.189,0.842,0.943,0.978,1.938
80m,0.143,1.744,7.366,0.226,0.805,0.921,0.967,2.089
