ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.149,1.910,7.449,0.231,0.804,0.919,0.965,2.126
proxy_dpth,0.248,5.467,13.226,0.324,0.663,0.835,0.925,2.962
15m,0.056,0.088,0.795,0.076,0.964,0.989,0.997,1.018
25m,0.080,0.267,1.806,0.119,0.921,0.977,0.992,1.464
50m,0.127,1.091,4.701,0.193,0.841,0.941,0.976,1.964
80m,0.149,1.902,7.410,0.230,0.805,0.919,0.965,2.126
