ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,2.137,8.040,0.246,0.793,0.910,0.959,2.256
proxy_dpth,0.255,5.887,13.604,0.340,0.653,0.824,0.916,3.098
15m,0.055,0.091,0.819,0.078,0.960,0.988,0.996,1.129
25m,0.079,0.271,1.826,0.121,0.919,0.975,0.992,1.619
50m,0.128,1.189,4.904,0.202,0.835,0.936,0.973,2.111
80m,0.152,2.100,7.870,0.244,0.795,0.911,0.960,2.256
