ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.144,1.792,7.609,0.232,0.796,0.917,0.965,2.128
proxy_dpth,0.232,4.804,12.887,0.317,0.669,0.844,0.931,2.920
15m,0.054,0.084,0.787,0.075,0.965,0.989,0.997,1.057
25m,0.078,0.260,1.839,0.120,0.922,0.976,0.992,1.549
50m,0.123,1.033,4.817,0.196,0.834,0.940,0.976,1.992
80m,0.144,1.747,7.373,0.230,0.798,0.919,0.966,2.128
