ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.144,1.815,7.473,0.229,0.804,0.918,0.965,2.102
proxy_dpth,0.232,4.887,12.848,0.317,0.671,0.843,0.929,2.888
15m,0.053,0.084,0.779,0.075,0.964,0.988,0.996,1.007
25m,0.077,0.250,1.775,0.116,0.923,0.977,0.992,1.462
50m,0.123,1.036,4.704,0.192,0.841,0.940,0.976,1.948
80m,0.144,1.790,7.345,0.227,0.805,0.919,0.966,2.102
