ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.297,4.470,9.372,0.316,0.656,0.859,0.938,2.323
proxy_dpth,0.488,14.089,19.077,0.455,0.470,0.698,0.839,3.350
15m,0.118,0.198,1.337,0.127,0.942,0.991,0.999,0.872
25m,0.166,0.605,2.745,0.183,0.811,0.973,0.993,1.264
50m,0.251,2.432,6.369,0.272,0.687,0.895,0.964,1.961
80m,0.297,4.470,9.372,0.316,0.656,0.859,0.938,2.323
