ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,2.078,7.859,0.243,0.795,0.911,0.961,2.235
proxy_dpth,0.259,6.001,13.814,0.342,0.649,0.821,0.915,3.106
15m,0.056,0.089,0.806,0.077,0.962,0.989,0.997,1.128
25m,0.080,0.272,1.838,0.122,0.919,0.975,0.991,1.604
50m,0.129,1.171,4.893,0.202,0.835,0.935,0.973,2.075
80m,0.152,2.042,7.688,0.241,0.797,0.912,0.961,2.235
