ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.322,4.628,9.506,0.329,0.610,0.851,0.937,2.344
proxy_dpth,0.512,14.729,19.232,0.466,0.447,0.690,0.835,3.409
15m,0.157,0.291,1.623,0.160,0.891,0.991,0.998,1.024
25m,0.196,0.696,2.950,0.206,0.754,0.970,0.993,1.389
50m,0.277,2.543,6.499,0.287,0.639,0.887,0.964,2.000
80m,0.322,4.628,9.506,0.329,0.610,0.851,0.937,2.344
