ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.401,7.280,11.329,0.414,0.531,0.753,0.874,3.263
proxy_dpth,0.700,24.236,23.204,0.592,0.378,0.566,0.723,4.383
15m,0.135,0.329,1.747,0.166,0.829,0.977,0.995,1.597
25m,0.211,1.058,3.620,0.249,0.672,0.905,0.981,2.053
50m,0.333,3.911,7.849,0.359,0.558,0.789,0.911,2.832
80m,0.401,7.278,11.321,0.414,0.531,0.753,0.874,3.263
