ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.317,5.221,10.055,0.343,0.630,0.829,0.920,2.653
proxy_dpth,0.573,18.076,21.172,0.515,0.434,0.634,0.782,3.766
15m,0.119,0.213,1.393,0.134,0.917,0.989,0.997,1.094
25m,0.168,0.653,2.890,0.194,0.784,0.960,0.992,1.513
50m,0.262,2.702,6.776,0.292,0.662,0.867,0.952,2.238
80m,0.317,5.220,10.054,0.343,0.630,0.829,0.920,2.653
