ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.303,4.190,9.091,0.315,0.637,0.865,0.943,2.253
proxy_dpth,0.489,13.755,18.612,0.452,0.467,0.708,0.845,3.321
15m,0.144,0.261,1.527,0.149,0.910,0.991,0.998,0.914
25m,0.187,0.681,2.866,0.198,0.779,0.970,0.993,1.315
50m,0.263,2.395,6.271,0.276,0.667,0.898,0.966,1.940
80m,0.303,4.190,9.090,0.315,0.637,0.865,0.943,2.253
