ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,1.815,7.433,0.240,0.781,0.909,0.963,2.209
proxy_dpth,0.258,5.508,13.926,0.336,0.617,0.819,0.924,3.069
15m,0.060,0.100,0.870,0.084,0.958,0.986,0.995,1.229
25m,0.086,0.285,1.982,0.131,0.909,0.971,0.990,1.697
50m,0.131,1.076,5.099,0.209,0.814,0.929,0.972,2.031
80m,0.152,1.806,7.385,0.239,0.781,0.909,0.963,2.209
