ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.326,4.900,9.830,0.341,0.607,0.834,0.927,2.524
proxy_dpth,0.559,16.915,20.657,0.503,0.431,0.646,0.794,3.653
15m,0.146,0.268,1.563,0.154,0.893,0.990,0.998,1.081
25m,0.192,0.719,3.014,0.208,0.751,0.962,0.993,1.502
50m,0.278,2.676,6.742,0.297,0.637,0.870,0.956,2.163
80m,0.326,4.899,9.825,0.341,0.607,0.835,0.927,2.524
