ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.320,4.480,9.409,0.327,0.599,0.853,0.938,2.288
proxy_dpth,0.492,13.704,18.949,0.456,0.446,0.693,0.843,3.301
15m,0.150,0.277,1.598,0.155,0.898,0.992,0.998,0.938
25m,0.197,0.725,3.001,0.206,0.738,0.971,0.994,1.324
50m,0.277,2.533,6.532,0.287,0.626,0.887,0.963,1.962
80m,0.319,4.480,9.409,0.327,0.599,0.853,0.938,2.288
