ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.328,4.746,9.652,0.334,0.592,0.846,0.934,2.363
proxy_dpth,0.547,16.266,20.077,0.487,0.429,0.663,0.814,3.477
15m,0.155,0.291,1.637,0.160,0.887,0.991,0.998,1.036
25m,0.199,0.724,3.031,0.210,0.733,0.969,0.993,1.401
50m,0.281,2.598,6.586,0.291,0.621,0.883,0.963,2.010
80m,0.328,4.746,9.651,0.334,0.592,0.846,0.934,2.363
