ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.250,3.206,8.586,0.288,0.688,0.877,0.951,2.312
proxy_dpth,0.392,9.774,17.049,0.408,0.510,0.744,0.877,3.312
15m,0.124,0.208,1.368,0.134,0.929,0.991,0.997,1.170
25m,0.156,0.520,2.606,0.180,0.831,0.970,0.992,1.568
50m,0.215,1.753,5.858,0.252,0.720,0.908,0.970,2.022
80m,0.250,3.206,8.586,0.288,0.688,0.877,0.951,2.312
