ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.155,2.089,7.812,0.243,0.793,0.911,0.961,2.231
proxy_dpth,0.265,6.064,13.734,0.340,0.643,0.822,0.917,3.085
15m,0.057,0.094,0.837,0.080,0.960,0.988,0.996,1.134
25m,0.082,0.276,1.887,0.125,0.915,0.974,0.991,1.596
50m,0.130,1.160,4.926,0.203,0.831,0.934,0.973,2.054
80m,0.154,2.050,7.601,0.241,0.794,0.912,0.961,2.231
