ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.156,1.944,7.635,0.238,0.783,0.909,0.965,2.193
proxy_dpth,0.269,6.092,13.848,0.339,0.630,0.816,0.917,3.068
15m,0.057,0.091,0.843,0.080,0.960,0.988,0.997,1.114
25m,0.086,0.299,1.975,0.129,0.906,0.972,0.992,1.580
50m,0.132,1.085,4.876,0.201,0.819,0.933,0.977,2.022
80m,0.156,1.920,7.515,0.237,0.784,0.910,0.965,2.193
