ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.156,2.099,7.866,0.247,0.784,0.907,0.960,2.267
proxy_dpth,0.263,6.045,13.844,0.344,0.641,0.819,0.916,3.135
15m,0.058,0.096,0.859,0.082,0.959,0.986,0.996,1.207
25m,0.084,0.290,1.977,0.130,0.910,0.971,0.990,1.686
50m,0.132,1.162,5.021,0.208,0.822,0.931,0.972,2.097
80m,0.156,2.068,7.702,0.245,0.785,0.908,0.960,2.267
