ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.302,4.205,9.238,0.317,0.624,0.858,0.942,2.341
proxy_dpth,0.478,13.330,18.842,0.451,0.457,0.700,0.846,3.407
15m,0.147,0.269,1.565,0.153,0.900,0.990,0.998,1.087
25m,0.187,0.664,2.915,0.201,0.766,0.969,0.993,1.463
50m,0.260,2.310,6.300,0.277,0.654,0.893,0.967,2.016
80m,0.302,4.205,9.238,0.317,0.624,0.858,0.942,2.341
