ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.303,3.952,9.117,0.313,0.611,0.862,0.946,2.206
proxy_dpth,0.436,11.130,17.715,0.423,0.468,0.730,0.869,3.214
15m,0.154,0.281,1.603,0.157,0.898,0.992,0.999,0.974
25m,0.195,0.683,2.938,0.203,0.750,0.974,0.995,1.348
50m,0.265,2.243,6.294,0.276,0.640,0.896,0.970,1.904
80m,0.303,3.952,9.117,0.313,0.611,0.862,0.946,2.206
