ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.290,4.175,9.272,0.312,0.646,0.857,0.941,2.337
proxy_dpth,0.508,14.894,19.763,0.469,0.450,0.670,0.822,3.444
15m,0.119,0.202,1.370,0.130,0.936,0.991,0.998,0.974
25m,0.167,0.603,2.797,0.186,0.798,0.971,0.994,1.368
50m,0.246,2.279,6.312,0.270,0.678,0.893,0.967,1.997
80m,0.290,4.175,9.272,0.312,0.646,0.857,0.941,2.337
