epoch,lr,avg_loss,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
0,0.0001,0.084417,1.157,51.012,24.19,1.0,0.23,0.413,0.555
1,0.0001,0.081589,0.916,37.427,22.254,0.946,0.265,0.459,0.598
