ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
80m,0.134,1.595,7.280,0.218,0.819,0.928,0.971,1.991
proxy_dpth,0.218,4.588,12.484,0.304,0.688,0.854,0.938,2.802
15m,0.053,0.079,0.759,0.073,0.968,0.989,0.997,1.002
25m,0.075,0.227,1.715,0.112,0.932,0.979,0.994,1.395
50m,0.113,0.857,4.401,0.179,0.857,0.950,0.982,1.843
