ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.317,4.741,9.823,0.336,0.613,0.839,0.929,2.504
proxy_dpth,0.525,15.430,20.259,0.485,0.435,0.654,0.811,3.564
15m,0.140,0.252,1.528,0.149,0.905,0.990,0.998,1.096
25m,0.184,0.668,2.951,0.201,0.762,0.967,0.994,1.481
50m,0.268,2.522,6.663,0.290,0.644,0.876,0.959,2.128
80m,0.317,4.740,9.818,0.336,0.613,0.839,0.929,2.504
