ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.168,2.247,8.579,0.269,0.747,0.889,0.950,2.447
proxy_dpth,0.272,6.160,14.563,0.361,0.610,0.799,0.904,3.295
15m,0.058,0.098,0.888,0.084,0.959,0.987,0.995,1.340
25m,0.090,0.323,2.157,0.141,0.895,0.970,0.989,1.862
50m,0.142,1.272,5.574,0.228,0.789,0.917,0.966,2.284
80m,0.167,2.209,8.423,0.268,0.749,0.890,0.951,2.447
