ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,2.115,8.041,0.247,0.788,0.909,0.959,2.260
proxy_dpth,0.263,6.184,13.868,0.345,0.647,0.818,0.912,3.131
15m,0.054,0.089,0.817,0.077,0.960,0.988,0.996,1.140
25m,0.079,0.273,1.868,0.123,0.916,0.974,0.991,1.622
50m,0.128,1.165,4.979,0.204,0.830,0.934,0.972,2.099
80m,0.152,2.070,7.829,0.244,0.790,0.911,0.960,2.260
