ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.311,4.469,9.435,0.323,0.612,0.854,0.939,2.353
proxy_dpth,0.525,15.523,19.791,0.476,0.440,0.675,0.822,3.459
15m,0.145,0.267,1.570,0.152,0.901,0.990,0.998,1.056
25m,0.188,0.674,2.935,0.202,0.757,0.970,0.993,1.422
50m,0.266,2.429,6.416,0.281,0.642,0.890,0.966,2.010
80m,0.311,4.469,9.435,0.323,0.612,0.854,0.939,2.353
