ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.290,3.944,9.089,0.308,0.638,0.864,0.946,2.244
proxy_dpth,0.463,12.701,18.615,0.441,0.468,0.705,0.849,3.274
15m,0.130,0.223,1.438,0.138,0.931,0.992,0.998,0.926
25m,0.176,0.626,2.841,0.191,0.784,0.975,0.994,1.332
50m,0.251,2.208,6.244,0.269,0.667,0.899,0.970,1.929
80m,0.290,3.944,9.089,0.308,0.638,0.864,0.946,2.244
