ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.151,2.026,7.943,0.245,0.790,0.909,0.959,2.248
proxy_dpth,0.248,5.592,13.772,0.340,0.649,0.823,0.917,3.096
15m,0.055,0.089,0.818,0.078,0.961,0.988,0.996,1.155
25m,0.081,0.275,1.874,0.124,0.916,0.974,0.991,1.660
50m,0.128,1.134,4.965,0.204,0.831,0.934,0.972,2.102
80m,0.151,1.991,7.776,0.243,0.791,0.910,0.960,2.248
