ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.147,1.837,7.509,0.231,0.802,0.920,0.965,2.135
proxy_dpth,0.233,4.812,12.712,0.314,0.672,0.849,0.933,2.889
15m,0.055,0.085,0.790,0.076,0.964,0.991,0.997,1.063
25m,0.081,0.268,1.817,0.119,0.921,0.978,0.993,1.542
50m,0.126,1.074,4.721,0.193,0.839,0.942,0.976,1.996
80m,0.146,1.809,7.365,0.229,0.803,0.921,0.965,2.135
