ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.171,2.284,8.045,0.258,0.756,0.896,0.957,2.371
proxy_dpth,0.295,7.071,15.003,0.366,0.598,0.791,0.901,3.311
15m,0.057,0.099,0.893,0.084,0.959,0.987,0.995,1.241
25m,0.090,0.325,2.162,0.140,0.894,0.970,0.989,1.672
50m,0.144,1.271,5.395,0.222,0.791,0.922,0.970,2.139
80m,0.171,2.274,8.004,0.258,0.756,0.896,0.957,2.371
