ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.146,1.776,7.681,0.240,0.785,0.910,0.962,2.209
proxy_dpth,0.237,5.063,13.542,0.333,0.646,0.824,0.920,3.065
15m,0.056,0.092,0.830,0.079,0.960,0.986,0.996,1.226
25m,0.081,0.269,1.927,0.127,0.912,0.973,0.991,1.703
50m,0.125,1.009,4.982,0.204,0.823,0.933,0.974,2.069
80m,0.146,1.752,7.575,0.239,0.786,0.911,0.962,2.209
