ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.150,1.976,7.600,0.237,0.797,0.914,0.963,2.189
proxy_dpth,0.258,5.818,13.597,0.335,0.648,0.825,0.920,3.058
15m,0.056,0.088,0.818,0.078,0.962,0.988,0.996,1.114
25m,0.080,0.268,1.868,0.123,0.918,0.975,0.991,1.574
50m,0.126,1.090,4.829,0.199,0.835,0.937,0.975,2.012
80m,0.150,1.953,7.477,0.236,0.798,0.915,0.964,2.189
