ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.311,4.563,9.391,0.324,0.627,0.852,0.936,2.376
proxy_dpth,0.509,14.796,19.082,0.467,0.460,0.694,0.831,3.451
15m,0.138,0.249,1.499,0.146,0.913,0.989,0.998,1.000
25m,0.184,0.682,2.920,0.199,0.774,0.966,0.992,1.408
50m,0.267,2.532,6.461,0.283,0.656,0.887,0.962,2.040
80m,0.311,4.563,9.391,0.324,0.627,0.852,0.936,2.376
