ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,2.045,7.811,0.243,0.793,0.912,0.961,2.227
proxy_dpth,0.262,5.930,13.629,0.336,0.644,0.825,0.919,3.060
15m,0.057,0.092,0.829,0.079,0.960,0.988,0.996,1.133
25m,0.081,0.274,1.878,0.124,0.916,0.974,0.991,1.618
50m,0.129,1.136,4.913,0.202,0.832,0.936,0.974,2.068
80m,0.152,2.007,7.616,0.240,0.794,0.913,0.962,2.227
