ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.410,7.562,11.422,0.419,0.529,0.751,0.871,3.285
proxy_dpth,0.693,23.876,22.835,0.588,0.383,0.579,0.733,4.383
15m,0.137,0.335,1.759,0.167,0.826,0.977,0.995,1.592
25m,0.214,1.083,3.635,0.250,0.669,0.903,0.980,2.055
50m,0.340,4.056,7.908,0.362,0.556,0.787,0.908,2.844
80m,0.410,7.560,11.416,0.419,0.529,0.751,0.871,3.285
