ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.290,3.596,8.993,0.309,0.607,0.861,0.950,2.314
proxy_dpth,0.464,12.725,18.769,0.443,0.441,0.695,0.858,3.391
15m,0.153,0.288,1.626,0.159,0.880,0.991,0.998,1.223
25m,0.196,0.710,3.023,0.210,0.742,0.963,0.993,1.657
50m,0.254,2.012,6.146,0.274,0.638,0.897,0.972,2.032
80m,0.290,3.596,8.993,0.309,0.607,0.861,0.950,2.314
