ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.275,3.535,8.856,0.298,0.647,0.871,0.952,2.233
proxy_dpth,0.441,11.724,18.262,0.428,0.467,0.715,0.863,3.256
15m,0.135,0.233,1.474,0.143,0.926,0.991,0.998,1.055
25m,0.173,0.579,2.779,0.189,0.793,0.975,0.994,1.410
50m,0.238,1.952,6.075,0.261,0.677,0.905,0.976,1.933
80m,0.275,3.535,8.856,0.298,0.647,0.871,0.952,2.233
