ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.167,2.191,8.417,0.267,0.751,0.891,0.952,2.432
proxy_dpth,0.266,5.907,14.370,0.357,0.614,0.803,0.907,3.266
15m,0.058,0.097,0.886,0.084,0.960,0.987,0.995,1.360
25m,0.090,0.320,2.156,0.140,0.897,0.970,0.989,1.852
50m,0.142,1.258,5.553,0.228,0.790,0.919,0.967,2.264
80m,0.167,2.164,8.308,0.265,0.752,0.892,0.952,2.432
