ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.145,1.842,7.454,0.230,0.804,0.920,0.966,2.121
proxy_dpth,0.248,5.508,13.302,0.328,0.662,0.832,0.922,2.994
15m,0.054,0.086,0.798,0.076,0.963,0.988,0.996,1.039
25m,0.078,0.253,1.802,0.119,0.922,0.977,0.993,1.484
50m,0.123,1.051,4.702,0.193,0.841,0.942,0.977,1.961
80m,0.145,1.820,7.341,0.229,0.805,0.921,0.966,2.121
