ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.144,1.765,7.467,0.229,0.801,0.919,0.966,2.111
proxy_dpth,0.229,4.799,12.876,0.316,0.669,0.843,0.931,2.905
15m,0.054,0.087,0.800,0.076,0.963,0.988,0.996,1.048
25m,0.079,0.261,1.823,0.120,0.921,0.976,0.992,1.500
50m,0.123,1.016,4.710,0.193,0.838,0.941,0.976,1.965
80m,0.143,1.737,7.323,0.227,0.802,0.920,0.966,2.111
