ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.345,5.487,10.218,0.358,0.583,0.815,0.915,2.648
proxy_dpth,0.570,17.486,20.983,0.512,0.418,0.631,0.790,3.711
15m,0.139,0.266,1.577,0.151,0.881,0.990,0.997,1.128
25m,0.195,0.791,3.161,0.215,0.724,0.954,0.992,1.571
50m,0.292,2.993,7.032,0.311,0.612,0.852,0.946,2.268
80m,0.345,5.487,10.218,0.358,0.583,0.815,0.915,2.648
