ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.334,4.870,9.683,0.338,0.584,0.844,0.933,2.376
proxy_dpth,0.543,16.042,19.850,0.484,0.429,0.672,0.820,3.459
15m,0.158,0.303,1.666,0.163,0.879,0.990,0.998,1.032
25m,0.204,0.755,3.072,0.213,0.723,0.967,0.993,1.409
50m,0.287,2.692,6.638,0.295,0.612,0.881,0.962,2.026
80m,0.334,4.870,9.683,0.338,0.584,0.844,0.933,2.376
