Wall time,Step,Value
1777255140.399732,0,0.22733406722545624
1777255175.6491985,1,0.23030652105808258
1777255211.437119,2,0.28602921962738037
1777255248.7267268,3,0.2449844479560852
1777255283.2375138,4,0.3058621883392334
1777255320.940121,5,0.27348288893699646
1777255357.944989,6,0.27268922328948975
1777255393.093115,7,0.32290950417518616
1777255430.193471,8,0.34420913457870483
1777255464.6076593,9,0.3404088020324707
1777255500.1468277,10,0.30950385332107544
1777255535.2450256,11,0.3216324746608734
1777255572.4513247,12,0.3035134971141815
1777255607.3877816,13,0.33952000737190247
1777255642.8264408,14,0.3339707553386688
1777255677.3932507,15,0.30233532190322876
1777255711.5880213,16,0.36238929629325867
1777255745.5396373,17,0.3169339895248413
1777255779.3940265,18,0.30831870436668396
1777255815.5589774,19,0.3328564763069153
1777255852.4660015,20,0.336489200592041
1777255889.3000298,21,0.2703515887260437
1777255923.9241436,22,0.2780863642692566
1777255960.271156,23,0.28321757912635803
1777255995.2082138,24,0.3320554494857788
1777256033.0941942,25,0.34295737743377686
1777256070.240214,26,0.34554749727249146
1777256113.6346567,27,0.3227643668651581
1777256151.0949032,28,0.3267674446105957
1777256187.3345942,29,0.33774176239967346
1777256223.1636312,30,0.33669841289520264
1777256258.508227,31,0.33594951033592224
1777256293.72618,32,0.3275015354156494
1777256329.703683,33,0.318258136510849
1777256367.949865,34,0.33408501744270325
1777256403.2135859,35,0.31935828924179077
1777256437.881504,36,0.32984504103660583
1777256474.4320693,37,0.34055760502815247
1777256510.5232568,38,0.32564982771873474
1777256545.3792193,39,0.3299117684364319
1777256581.5573235,40,0.3428348898887634
1777256617.9119978,41,0.2911567986011505
1777256653.8641284,42,0.33931785821914673
1777256689.2172441,43,0.3059442639350891
1777256724.001545,44,0.30739685893058777
1777256758.1853838,45,0.3130455017089844
1777256792.6830401,46,0.34035399556159973
1777256828.464855,47,0.3200242817401886
1777256864.5540593,48,0.3352709114551544
1777256899.5417097,49,0.316551148891449
1777256941.4351873,50,0.3371964693069458
1777256978.4662836,51,0.350100040435791
1777257013.8667262,52,0.34283480048179626
1777257048.1532238,53,0.3338058292865753
1777257082.725133,54,0.35073423385620117
1777257116.7742329,55,0.33893895149230957
1777257150.5339584,56,0.3140913248062134
1777257184.8093338,57,0.3219565451145172
1777257218.7946484,58,0.33115315437316895
1777257253.378354,59,0.34344547986984253
1777257289.7755845,60,0.3361837863922119
1777257324.9647648,61,0.3512110412120819
1777257359.4942164,62,0.35143715143203735
1777257394.7481418,63,0.34177565574645996
1777257429.7250504,64,0.30560803413391113
1777257465.3508694,65,0.3516565263271332
1777257500.2817812,66,0.34933939576148987
1777257537.432635,67,0.32423117756843567
1777257572.4622266,68,0.33283090591430664
1777257610.2241123,69,0.3305080533027649
1777257646.930867,70,0.33007246255874634
1777257682.52001,71,0.3428840935230255
1777257719.6200683,72,0.3155348300933838
1777257754.8358893,73,0.335679829120636
1777257791.7003415,74,0.3381619155406952
1777257828.0119934,75,0.30367109179496765
1777257865.4189878,76,0.34998270869255066
1777257902.2302892,77,0.33629652857780457
1777257939.7798924,78,0.33316493034362793
1777257975.9602168,79,0.3401740491390228
1777258011.8989193,80,0.339039146900177
1777258047.3101351,81,0.3430335223674774
1777258083.4955463,82,0.3361106812953949
1777258118.7068777,83,0.32753559947013855
1777258153.131144,84,0.3357245624065399
1777258191.3292484,85,0.3280951976776123
1777258227.7881439,86,0.35523033142089844
1777258265.1332467,87,0.3495658040046692
1777258302.1608238,88,0.3676062524318695
1777258337.9216976,89,0.3444560170173645
1777258373.8182182,90,0.3493921458721161
1777258410.290023,91,0.3366795480251312
1777258446.909758,92,0.34740743041038513
1777258481.5242212,93,0.3155670464038849
1777258516.8561065,94,0.32779642939567566
1777258551.9589717,95,0.3415379226207733
1777258586.1290007,96,0.3205728530883789
1777258622.385234,97,0.3457536995410919
1777258657.4223375,98,0.3535178601741791
1777258694.3553615,99,0.34396272897720337
1777258731.792538,100,0.35326799750328064
