Wall time,Step,Value
1777255140.399478,0,0.9133687019348145
1777255175.6488016,1,0.636574387550354
1777255211.4369173,2,0.7675716876983643
1777255248.7265205,3,0.6054798364639282
1777255283.2373712,4,0.6875032186508179
1777255320.9398205,5,0.5770189762115479
1777255357.9447732,6,0.6901641488075256
1777255393.0929916,7,0.7549883723258972
1777255430.193252,8,0.9940784573554993
1777255464.607341,9,0.8619303703308105
1777255500.1465952,10,0.9695622324943542
1777255535.2448237,11,1.2767891883850098
1777255572.4509847,12,0.8397789001464844
1777255607.3874905,13,1.011692762374878
1777255642.8260076,14,1.095040202140808
1777255677.393034,15,0.960192859172821
1777255711.5878294,16,1.0763999223709106
1777255745.5394378,17,1.368296504020691
1777255779.393828,18,1.063071846961975
1777255815.558808,19,1.4442652463912964
1777255852.4656723,20,1.4364404678344727
1777255889.2998283,21,0.9466899633407593
1777255923.9238205,22,0.8272351026535034
1777255960.270952,23,1.2635841369628906
1777255995.2078793,24,1.5132464170455933
1777256033.0940657,25,1.1718471050262451
1777256070.2400699,26,1.0984159708023071
1777256113.6345067,27,1.3991979360580444
1777256151.0946317,28,1.2892990112304688
1777256187.3342874,29,1.6453591585159302
1777256223.1632588,30,1.4326688051223755
1777256258.508109,31,1.4776866436004639
1777256293.7260005,32,1.3358101844787598
1777256329.703396,33,1.010722041130066
1777256367.9495635,34,1.2930424213409424
1777256403.21326,35,1.1543478965759277
1777256437.8810833,36,1.1456748247146606
1777256474.4319546,37,1.8501863479614258
1777256510.5231142,38,1.520646095275879
1777256545.378988,39,1.0456886291503906
1777256581.5569108,40,1.2647032737731934
1777256617.9117045,41,1.2859703302383423
1777256653.864016,42,1.5906299352645874
1777256689.2170794,43,1.435307264328003
1777256724.0012245,44,1.371335506439209
1777256758.185247,45,1.373445987701416
1777256792.682893,46,1.4265397787094116
1777256828.4645035,47,1.2214951515197754
1777256864.5537648,48,1.4996367692947388
1777256899.5416024,49,1.4436498880386353
1777256941.4350483,50,1.3024147748947144
1777256978.4660113,51,1.6913528442382812
1777257013.8663125,52,1.774320363998413
1777257048.1530833,53,1.2492364645004272
1777257082.7247534,54,1.5546879768371582
1777257116.7740765,55,1.7502639293670654
1777257150.5337095,56,1.5155613422393799
1777257184.8091965,57,1.3964014053344727
1777257218.7943711,58,1.429216980934143
1777257253.3781734,59,2.1292636394500732
1777257289.7754428,60,1.4067031145095825
1777257324.9646156,61,2.0003678798675537
1777257359.4941304,62,1.7643163204193115
